long,lat,order,hole,piece,group,id
-117.239463400835,32.6961453864584,36,FALSE,1,0.1,0
-117.23945553186,32.6961950159495,37,FALSE,1,0.1,0
-117.239438716218,32.6962649587541,38,FALSE,1,0.1,0
-117.239435187288,32.6963168357407,39,FALSE,1,0.1,0
-117.239430991824,32.6963687126653,40,FALSE,1,0.1,0
-117.239423473876,32.6964251069517,41,FALSE,1,0.1,0
-117.239424189301,32.6964431469792,42,FALSE,1,0.1,0
-117.239418059403,32.6965198356746,43,FALSE,1,0.1,0
-117.239418453267,32.6965423870192,44,FALSE,1,0.1,0
-117.239419513644,32.6965649366226,45,FALSE,1,0.1,0
-117.239420228003,32.6965829766587,46,FALSE,1,0.1,0
-117.23942128839,32.696605527164,47,FALSE,1,0.1,0
-117.239422348768,32.6966280767675,48,FALSE,1,0.1,0
-117.239423070309,32.6966483720163,49,FALSE,1,0.1,0
-117.239421111418,32.6966641620012,50,FALSE,1,0.1,0
-117.239419553573,32.6967047585435,51,FALSE,1,0.1,0
-117.239411059732,32.6967701754286,52,FALSE,1,0.1,0
-117.239397977585,32.6968649187858,53,FALSE,1,0.1,0
-117.239362564041,32.6969619604284,54,FALSE,1,0.1,0
-117.23933943695,32.6970409361655,55,FALSE,1,0.1,0
-117.239316661942,32.6971266766872,56,FALSE,1,0.1,0
-117.239267353751,32.6972643380761,57,FALSE,1,0.1,0
-117.239228951161,32.6973658952631,58,FALSE,1,0.1,0
-117.239212111747,32.6974268171463,59,FALSE,1,0.1,0
-117.239186365036,32.6975238397994,60,FALSE,1,0.1,0
-117.23916820977,32.697591529927,61,FALSE,1,0.1,0
-117.239155204506,32.6977155911536,62,FALSE,1,0.1,0
-117.239156118216,32.6978080517053,63,FALSE,1,0.1,0
-117.239147333031,32.6978892559971,64,FALSE,1,0.1,0
-117.239097928584,32.6979908337652,65,FALSE,1,0.1,0
-117.239052803121,32.6980721068118,66,FALSE,1,0.1,0
-117.23902796084,32.6981330441654,67,FALSE,1,0.1,0
-117.238988242847,32.6982413695207,68,FALSE,1,0.1,0
-117.238965103945,32.6983158347397,69,FALSE,1,0.1,0
-117.238952912656,32.6983699832544,70,FALSE,1,0.1,0
-117.238927189781,32.6984760258395,71,FALSE,1,0.1,0
-117.238912898717,32.6986181304964,72,FALSE,1,0.1,0
-117.238912605112,32.6987579532918,73,FALSE,1,0.1,0
-117.238907225488,32.6988662133356,74,FALSE,1,0.1,0
-117.238905597727,32.6990060378142,75,FALSE,1,0.1,0
-117.23891123796,32.6991210420223,76,FALSE,1,0.1,0
-117.238923183546,32.6992247589887,77,FALSE,1,0.1,0
-117.238952459429,32.6993261862979,78,FALSE,1,0.1,0
-117.239000672603,32.6994027709709,79,FALSE,1,0.1,0
-117.23901506902,32.6994252956767,80,FALSE,1,0.1,0
-117.238996150116,32.6994569048741,81,FALSE,1,0.1,0
-117.238982552371,32.6994839933137,82,FALSE,1,0.1,0
-117.238954666968,32.6995291501316,83,FALSE,1,0.1,0
-117.238923424436,32.6995652929471,84,FALSE,1,0.1,0
-117.238873594551,32.6996330431754,85,FALSE,1,0.1,0
-117.238834749017,32.6996940071195,86,FALSE,1,0.1,0
-117.238794236546,32.6997549744986,87,FALSE,1,0.1,0
-117.238735149867,32.6998520606006,88,FALSE,1,0.1,0
-117.238673081362,32.6999559174551,89,FALSE,1,0.1,0
-117.238600068752,32.7000823479915,90,FALSE,1,0.1,0
-117.238536290392,32.7001704216727,91,FALSE,1,0.1,0
-117.238488138951,32.7002426796474,92,FALSE,1,0.1,0
-117.238442946922,32.7002991450241,93,FALSE,1,0.1,0
-117.238121688752,32.7008545332848,94,FALSE,1,0.1,0
-117.237919919862,32.7012089820371,95,FALSE,1,0.1,0
-117.237934387073,32.7012585686438,96,FALSE,1,0.1,0
-117.237960191034,32.7013081338556,97,FALSE,1,0.1,0
-117.237995312799,32.7013509154071,98,FALSE,1,0.1,0
-117.238011005922,32.7013599072386,99,FALSE,1,0.1,0
